,ServiceName,id,Edition,Creation,Publication,Administration,Latency,Compliance,Throughput,Reliability,Availability,Documentation,Successability,Service Name,WSDL Address,Response Time,Best Practices
63,CRM2448,7519,4,0,3,1,9,78,9.5,73,100,6,100,GoogleSearchService,http://jacques.dsc.ufcg.edu.br/palestras/webservices/google/googleapi/GoogleSearch.wsdl,141,84
64,CRM2447,7518,3,4,0,2,5.92,89,7,67,13,64,13,OnlineMessenger,http://www.myoms.net/soap/oms2_simple.wsdl,253.83,84
65,CRM2446,7517,1,1,4,0,39.6,100,0.7,67,93,2,98,backtranambigService,http://www.ebi.ac.uk/soaplab/emboss4/services/nucleic_translation.backtranambig.derived?wsdl,252,82
66,CRM2445,7516,3,3,0,4,3,100,21,73,83,3,84,Batch_Transfer,http://dev.arl.arizona.edu/batch.wsdl,96,80
67,CRM2444,7515,2,3,4,2,375,89,14.5,83,83,12,84,EmptySA,http://www.soapclient.com/interop/EmptySa.wsdl,517,91
68,CRM2443,7514,1,0,0,2,18.5,78,14.2,73,93,92,98,Html2XmlServices,http://www.html2xml.nl/Services/html2xml/version1/Html2Xml.asmx?WSDL,168.17,62
69,CRM2442,7513,4,0,0,3,10,89,17.8,78,83,6,84,sbp,http://th.sbuypayment.com/webservices/Pay.php?wsdl,413,89
70,CRM2441,7512,1,4,0,3,25.6,100,1.1,73,91,34,91,wossnameService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/wossname.wsdl,546.4,84
71,CRM2440,7511,3,3,1,0,34.2,100,1.6,73,88,9,96,emastService,http://www.ebi.ac.uk/soaplab/emboss4/services/protein_motifs.emast.derived?wsdl,396.4,84
72,CRM2439,7510,3,2,3,4,2,78,7.5,73,96,40,99,BEP,http://www.webservicex.net/bep.asmx?WSDL,1479,84
73,CRM2438,7509,0,2,4,0,7.2,100,1,73,87,40,95,pepcoilService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/pepcoil.wsdl,220.2,84
74,CRM2437,7508,0,3,1,1,8.4,100,1,73,95,34,99,newcpgreportService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/newcpgreport.wsdl,266.4,84
75,CRM2436,7507,4,1,3,0,28.5,78,2.7,78,39,8,39,CUCTransaction,http://mo.paybill.com/WebServices/CUCTransaction.wsdl,289.75,91
76,CRM2435,7506,1,4,4,1,7,89,15.2,60,83,9,84,remoteQuery,http://www.boeingcapital.com/einvite/hongkong/reports/remotequery.cfc?wsdl,311,69
77,CRM2434,7505,4,4,2,2,18,89,2.2,73,74,6,75,XfccBasic,http://www.iccf-webchess.com/XfccBasic.asmx?wsdl,296,80
78,CRM2433,7504,2,4,4,0,3,78,15.4,73,72,4,72,XarayaSoap,http://xaraya.open-world.com.ve/ws.php?wsdl,46,84
79,CRM2432,7503,0,2,4,3,64.96,89,4.2,53,85,6,86,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/nucleic_composition.wordcount?wsdl,280.7,66
80,CRM2431,7502,0,0,4,1,10,100,9.4,73,88,33,96,eprimer3Service,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/eprimer3.wsdl,439.4,84
81,CRM2430,7501,2,3,4,4,50.59,78,4.8,67,57,90,58,StockQuotes,http://www.gama-system.com/webservices/stockquotes.asmx?wsdl#StockQuotesSoap,252.59,82
82,CRM2429,7500,2,3,2,1,6.92,89,9.9,60,97,40,99,DocApi,http://soap.centerpost.com/DocApi.asmx?wsdl,202.04,74
83,CRM2428,7499,3,2,4,4,10.2,100,9.6,73,97,38,99,emmaService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/emma.wsdl,494.8,84
84,CRM2427,7498,4,4,0,3,5,89,21.6,67,83,4,84,HashProviderService,http://web8.securetss.com/com/clearviewtss/util/HashProvider.cfc?wsdl,110,72
85,CRM2426,7497,3,3,0,0,404.6,89,1.3,67,54,81,54,Query,http://arcweb.esri.com/services/v2/Query.wsdl,568.6,72
86,CRM2425,7496,1,3,4,4,31.66,100,18.5,73,89,66,96,Shipment,http://www.saiasecure.com/webservice/shipment/soap.asmx?wsdl,114.83,80
87,CRM2424,7495,4,0,4,1,48.8,78,17.3,73,90,90,97,GBSCTHolidayService,http://www.holidaywebservice.com/Holidays/GBSCT/GBSCTHolidayService.asmx?wsdl,157.2,62
88,CRM2423,7494,2,2,0,2,3.75,89,10.7,73,78,3,78,StateDemo,http://dotnet.jku.at/buch/samples/7/lifecycle/StateDemo.asmx?WSDL,150.25,84
89,CRM2422,7493,4,3,3,3,18,78,7.6,67,75,11,76,Gameshop,http://www.gameshop.nl/Webservice.php?wsdl,190.33,72
90,CRM2421,7492,2,3,1,4,20,78,3.8,73,78,4,79,WSScanPSService,http://www.ebi.ac.uk/Tools/webservices/wsdl/WSScanPS.wsdl,1512.25,84
91,CRM2420,7491,2,2,2,1,135.5,89,6.8,67,72,1,72,ndfdXML,http://oscar.snapps.com/portal.nsf/WeatherService?WSDL,837,72
92,CRM2419,7490,2,2,2,0,5.75,78,4,73,67,10,68,SumibiConvertService,http://www.sumibi.org/sumibi/Sumibi_stable.wsdl,878.5,87
93,CRM2418,7489,1,2,2,0,50.33,78,4.3,72,90,11,97,gmews,http://digilander.libero.it/kobayashison/pab.wsdl,563.5,89
94,CRM2417,7488,0,0,3,4,205.75,78,1.7,73,91,24,97,devCadastro,http://www.devaspnet.com.br/servicos/cadastro/devcadastro.asmx?wsdl,406.25,84
95,CRM2416,7487,2,0,0,2,9,100,1.6,58,92,33,97,pepwindowService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/pepwindow.wsdl,222,75
96,CRM2415,7486,3,4,1,0,85.83,89,1.9,53,85,4,86,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/protein_3d_structure.sigscan?wsdl,292.7,66
97,CRM2414,7485,0,2,2,3,3,89,36.9,83,91,12,97,EmptySA,http://mssoapinterop.org/stkv3/wsdl/emptysa.wsdl,107,91
98,CRM2413,7484,4,0,4,4,143,78,2.6,73,86,40,87,CupScores,http://scores.serviceobjects.com/CupScores.asmx?WSDL,251,80
99,CRM2412,7483,2,0,3,3,2.25,100,1.4,67,57,32,59,FaxMessagingService,http://www.mail-archive.com/wsif-dev@ws.apache.org/msg00496/FaxMessagingService.wsdl,64.75,77
100,CRM2411,7482,0,2,2,0,2,78,9.9,80,93,11,98,categoryfeatures,http://citizenatlas.dc.gov/webservices/categoryfeatures.asmx?wsdl,64,65
101,CRM2410,7481,0,1,4,2,9.2,100,13.7,73,100,33,100,showfeatService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/showfeat.wsdl,223.4,84
102,CRM2409,7480,1,0,2,1,8.2,78,1,73,92,32,97,protsweepService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/protsweep.wsdl,200.2,84
103,CRM2408,7479,1,1,2,4,39,100,5.6,80,93,8,98,TWebService1,http://www.daten-management.com.br/WebServiceCGC.asmx?WSDL,3567,87
104,CRM2407,7478,1,0,3,1,4,89,3.2,73,68,61,68,CheckAuthorizationService,http://test.achex.com/ws/Authorization.wsdl,233.5,75
105,CRM2406,7477,0,4,3,1,1,78,25.6,89,92,11,97,eUtilsService,http://www.ncbi.nlm.nih.gov/entrez/eutils/soap/efetch.wsdl,165,93
106,CRM2405,7476,1,1,0,1,5.37,89,6.6,73,70,7,70,MathService,http://ja.gotdotnet.com/quickstart/aspplus/samples/services/MathService/VB/MathService.asmx?WSDL,128.75,84
107,CRM2404,7475,4,2,1,1,5.5,89,5.8,73,46,60,47,Celsius42,http://www.ebob42.com/cgi-bin/Celsius42.asmx?wsdl,142.17,84
108,CRM2403,7474,3,4,2,1,5.6,67,3.4,67,94,95,94,NetworkNode,http://www.exchangenetwork.net/schema/v1.0/node.wsdl,525.5,84
109,CRM2402,7473,3,1,2,1,8,100,12.5,73,85,38,95,supermatcherService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/supermatcher.wsdl,298.2,84
110,CRM2401,7472,0,1,0,0,28.9,89,9,67,56,36,56,WebSystemService,http://www.foodcandy.com/WebSystemService.asmx?WSDL,200.6,77
111,CRM2400,7471,2,1,1,1,85.26,89,3.2,53,85,8,85,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/edit.biosed?wsdl,300.96,66
112,CRM2399,7470,2,2,2,2,9,100,4.1,73,95,39,99,SMSMessagingService,http://www.strikeiron.com/WebServices/SMSMessagingService.asmx?WSDL,64.4,80
113,CRM2398,7469,4,1,3,1,65,89,15.5,73,86,7,86,FpMLConversion,http://www.handcoded.com/FpMLConversion.asmx?WSDL,112.5,84
114,CRM2397,7468,4,2,3,3,49.4,100,2.4,73,89,8,96,ehmmcalibrateService,http://www.ebi.ac.uk/soaplab/emboss4/services/hmm.ehmmcalibrate.derived?wsdl,300.2,84
115,CRM2396,7467,1,3,0,1,1,100,12.6,67,90,90,96,CaribbeanT,http://www.regomnet.de/CaribbeanT.asmx?WSDL,151.5,82
116,CRM2395,7466,3,4,2,4,2,78,5.7,73,98,5,100,PeReverseAniService,http://realtime.pacificeast.com/ReverseAni/PeReverseAniService.asmx?wsdl,122,84
117,CRM2394,7465,3,3,0,2,6.27,100,9.7,73,89,9,96,BibShareSearchEngine,http://bibshare.dsic.upv.es/BibShareSearchEngine/BibShareSearchEngine.asmx?WSDL,287.36,80
118,CRM2393,7464,0,1,4,3,23.2,100,11.8,67,97,7,99,PaSSAPI,http://www.kbcafe.com/iBLOGthere4iM/PaSSAPI.wsdl,271.6,72
119,CRM2392,7463,1,1,0,4,981,89,1.3,73,83,38,84,kalendar,http://kalendar.kr-plzensky.cz/web/ws.php?wsdl,2252,75
120,CRM2391,7462,2,4,3,3,9.33,78,7.6,73,92,6,97,GoogleSearchService,http://hermes.arts.cuhk.edu.hk/~ledowong/xquery2/galax-0.4.0/examples/wsdl/apache/GoogleSearch.wsdl,124,84
121,CRM2390,7461,3,1,0,3,20,100,5.4,73,90,59,97,Pickup,http://www.saiasecure.com/webservice/pickup/soap.asmx?wsdl,133.5,80
122,CRM2389,7460,2,0,0,3,84.48,89,1.8,53,85,6,86,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/alignment_global.stretcher?wsdl,329.7,66
123,CRM2388,7459,3,3,3,3,2.5,89,8.2,80,92,7,97,WSDLInteropTestDocLitService,http://mssoapinterop.org/stkv3/wsdl/interopTestDocLitParameters.wsdl,114.25,83
124,CRM2387,7458,3,4,4,1,48.25,89,7.7,60,100,5,100,QueryServiceService,http://cuero.tacc.utexas.edu:8080/gridport/services/GPIRQuery?wsdl,133,69
125,CRM2386,7457,2,0,2,0,9,78,7.4,73,85,3,95,GoogleSearchService,http://www.myjavaserver.com/~tsschnoc/GoogleSearch.wsdl,111.67,84
126,CRM2385,7456,3,4,3,3,10.33,78,7.9,73,94,12,98,GoogleSearchService,http://dotnet.jku.at/book/solutions/7/GoogleSearch.wsdl,125.33,84
127,CRM2384,7455,0,1,1,1,62.55,78,12.5,73,94,4,94,SkyNodeWS,http://skyservice.pha.jhu.edu/SkyNode/DLS/SkyNodeWS.asmx?WSDL,122.73,62
128,CRM2383,7454,3,3,2,3,68,78,3.9,73,95,2,99,SeikaCodePublish,http://edicode.vips.gr.jp/SeikaCodePublish.asmx?WSDL,324.5,75
129,CRM2382,7453,2,4,3,4,20.83,89,3.7,73,46,8,46,ServerExampleService,http://www.nuestrosite.com.mx/soap/server.php?wsdl,424.83,84
130,CRM2381,7452,0,1,1,3,59.53,89,4.6,53,89,4,89,edit__descseqService,http://www.ebi.ac.uk/soaplab/services/edit.descseq.derived?wsdl,243.07,66
131,CRM2380,7451,0,0,3,0,27.61,67,8.7,73,61,80,61,WebStoreAdminService,http://www.west-wind.com/webstoresandbox/admin/WebStoreAdminService.asmx?WSDL,137.33,80
132,CRM2379,7450,4,3,2,2,5,89,21.6,78,83,9,84,IDutchservice,http://www.ebob42.com/cgi-bin/NumberToWordsInDutch.exe/wsdl/IDutch,168,89
133,CRM2378,7449,4,4,0,4,54,100,9.6,73,97,7,99,weasel,http://sws-challenge.org/shipper/v2/weasel.wsdl,278,84
134,CRM2377,7448,3,1,0,4,10.93,89,2,80,65,60,66,TimeService,http://www.nanonull.com/TimeService/TimeService.asmx?wsdl,166.43,87
135,CRM2376,7447,2,4,4,4,8.66,78,6.9,73,97,10,99,GoogleSearchService,http://www-inf.int-evry.fr/cours/WebServices/TP_WS/DotNET/TP_Google/GoogleSearch.wsdl,134.33,84
136,CRM2375,7446,1,1,1,2,11.36,89,2.8,73,97,8,99,SmsTransfer,http://www.crm4me.com.tr/crm4me_services/smstransfer.asmx?WSDL,1733.09,62
137,CRM2374,7445,4,1,2,4,6.66,78,6.8,67,63,7,63,BankServiceService,http://www.arikan.at/axis/services/BankService?wsdl,604.33,72
138,CRM2373,7444,2,0,0,4,1,100,21.3,73,72,4,72,GetInfoByNameService,http://www-128.ibm.com/developerworks/cn/websphere/library/techarticles/0401_liu_mandel/AddressBook.wsdl,111.5,84
139,CRM2372,7443,0,4,2,3,25.16,67,2.4,58,99,7,100,DimeInterop,http://mssoapinterop.org/stkV3/dime/dime-doc.wsdl,134.83,75
140,CRM2371,7442,4,3,2,4,22.87,78,6.7,60,98,90,98,XigniteFunds,http://www.xignite.com/xFunds.asmx?WSDL,446,74
141,CRM2370,7441,2,1,0,0,11.6,100,14.6,73,100,40,100,notseqService,http://genome.dkfz-heidelberg.de/menu/hobit/embapps/wsdl/notseq.wsdl,227.8,84
142,CRM2369,7440,0,4,3,0,0.75,78,7.6,60,95,93,99,XigniteSecurity,http://www.xignite.com/xsecurity.asmx?WSDL,322.65,74
143,CRM2368,7439,1,2,1,1,25.8,89,14.6,67,94,32,98,UserService,http://my.textcaster.com/webservices/userservice.asmx?WSDL,177.5,58
144,CRM2367,7438,4,3,0,2,54.5,78,3.4,73,86,96,95,AustralianPostCode,http://www.webservicex.com/AustralianPostCode.asmx?WSDL,164,84
145,CRM2366,7437,2,1,1,0,37.37,100,7.2,67,90,9,91,AWSECommerceService,http://webservices.amazon.com/AWSECommerceService/2005-10-05/UK/AWSECommerceService.wsdl,226.58,77
146,CRM2365,7436,2,0,4,2,4.46,67,13.3,60,97,32,99,BlueLMSWS,http://blue.isoph.com/IsophBlueWS/IsophBlueWS.asmx?wsdl,97.73,74
147,CRM2364,7435,2,4,4,3,39.6,100,1.2,67,97,10,99,supermatcherService,http://www.ebi.ac.uk/soaplab/emboss4/services/alignment_local.supermatcher.derived?wsdl,340.2,82
148,CRM2363,7434,1,3,2,2,14.66,78,1.5,73,98,87,100,Teletekst,http://www.html2xml.nl/Services/Teletekst/Version1/Teletekst.asmx?WSDL,546.33,62
149,CRM2362,7433,1,4,4,0,11.66,89,7.6,83,63,39,63,sms,http://www.subitosms.it/ws.php?wsdl,361.33,91
150,CRM2361,7432,3,0,4,3,91.52,89,1.4,53,86,2,87,AnalysisWSAppLabImplService,http://www.ebi.ac.uk/soaplab/emboss4/services/alignment_consensus.merger?wsdl,325.3,66
151,CRM2360,7431,3,2,4,1,8.66,78,6.9,73,100,9,100,GoogleSearchService,http://www.cs.usyd.edu.au/~ejb/nusoaplib/GoogleSearch.wsdl,127.33,84
152,CRM2359,7430,2,3,1,0,0.8,78,19,73,85,92,95,DOTSGeoPhone,http://ws2.serviceobjects.net/gp/GeoPhone.asmx?WSDL,107.4,80
153,CRM2358,7429,4,1,0,1,91.34,100,9.2,80,63,42,63,hellowsdl3,http://www.scottnichol.com/samples/hellowsdl3.wsdl,420.67,87
154,CRM2357,7428,1,3,2,3,0.62,78,12.3,67,100,28,100,wsRegistriCertificati,http://bdrtest.izs.it/WsRegistriCertificatiAut/registricertificati.asmx?WSDL,205.12,77
155,CRM2356,7427,3,4,4,2,0.4,78,18.8,73,85,87,95,DOTSFastTax,http://trial.serviceobjects.com/ft/FastTax.asmx?wsdl,103.4,80
156,CRM2355,7426,0,2,0,4,13,100,0.4,73,94,11,98,EMSFlightMonitorService,http://www.pathfinder-xml.com/development/WSDL/EMSFlightMonitorMessage.wsdl,264,80
157,CRM2354,7425,0,1,2,3,0.66,78,1.5,73,95,9,98,ExternalCAP,http://service.aconti.net/externalCAP.asmx?wsdl,191.33,84
158,CRM2353,7424,2,4,4,1,2,100,15.4,73,87,61,96,HOSTSupplierContainerRunService,http://galaxy.sagadc.com/Galaxy/wsdl/HOSTSupplier.wsdl,234,80
159,CRM2352,7423,3,1,4,2,11,78,18.5,73,88,94,96,K4TAirReservationsWS,http://ws.keyfortravel.com/Air/airreservations.asmx?wsdl,177,80
160,CRM2351,7422,1,2,3,2,3.5,89,13.3,83,72,96,72,B2BXMLOrders,http://b2bserver.acdsystems.com/b2bxmlorders.asmx?WSDL,174.5,91
161,CRM2350,7421,1,1,2,1,26.28,78,1.4,67,89,3,96,wsReqSender,http://www.perevozki.ru/WEBServices/WSRequests/wsrequests.asmx?WSDL,2697.14,82
162,CRM2349,7420,4,4,0,2,1337,89,1,83,42,1,43,ARSA,http://xml.nig.ac.jp/wsdl/ARSA.wsdl,1664.62,91
163,CRM2348,7419,4,2,3,2,40.6,100,0.8,67,99,9,100,splitterService,http://www.ebi.ac.uk/soaplab/emboss4/services/edit.splitter.derived?wsdl,256.6,82
164,CRM2347,7418,0,3,4,1,28,89,13.7,67,83,38,84,wsdl,http://www.sugartech.co.za/soap/wsdlserver.php?wsdl,211,72
165,CRM2346,7417,2,2,2,4,1.5,78,1.4,73,92,88,97,DOTSNameWizard,http://trial.serviceobjects.com/nw/namewizard.asmx?wsdl,142.5,84
